timestamp,voltage,current,temperature,anode_position,chemical_composition,is_outlier
2025-01-01 00:00:00,4.23,120.12,779.4,0.15,0.98,False
2025-01-01 00:01:00,4.19,119.84,778.7,0.16,0.99,False
2025-01-01 00:02:00,4.27,120.40,780.1,0.14,0.97,False
2025-01-01 00:03:00,4.20,121.05,780.9,0.15,0.98,False
2025-01-01 00:04:00,4.18,118.90,777.9,0.16,0.99,False
2025-01-01 00:05:00,4.21,120.30,779.2,0.15,0.98,False
2025-01-01 00:06:00,4.22,121.10,781.0,0.15,0.97,False
2025-01-01 00:07:00,4.17,119.40,778.3,0.16,0.99,False
2025-01-01 00:08:00,4.25,120.90,779.8,0.15,0.98,False
2025-01-01 00:09:00,4.24,120.00,780.4,0.15,0.98,False
2025-01-01 00:10:00,4.29,122.00,782.1,0.15,0.97,False
2025-01-01 00:11:00,4.20,121.20,780.8,0.16,0.99,False
2025-01-01 00:12:00,4.15,118.80,777.5,0.16,0.99,False
2025-01-01 00:13:00,4.30,121.70,781.5,0.15,0.97,False
2025-01-01 00:14:00,4.19,119.90,779.0,0.16,0.98,False
2025-01-01 00:15:00,4.28,120.60,779.9,0.15,0.99,False
2025-01-01 00:16:00,4.26,121.40,780.7,0.14,0.97,False
2025-01-01 00:17:00,4.25,120.10,779.3,0.15,0.98,False
2025-01-01 00:18:00,4.22,119.90,778.6,0.16,0.99,False
2025-01-01 00:19:00,4.21,120.80,779.7,0.15,0.98,False
2025-01-01 00:20:00,4.23,120.50,780.2,0.15,0.97,False
2025-01-01 00:21:00,4.29,122.10,781.6,0.14,0.97,False
2025-01-01 00:22:00,4.24,120.20,778.8,0.16,0.98,False
2025-01-01 00:23:00,4.16,119.00,777.1,0.16,0.99,False
2025-01-01 00:24:00,4.27,120.70,779.9,0.15,0.98,False
2025-01-01 00:25:00,4.28,121.50,780.5,0.15,0.97,False
2025-01-01 00:26:00,4.18,119.20,778.4,0.16,0.98,False
2025-01-01 00:27:00,4.29,121.80,781.0,0.15,0.97,False
2025-01-01 00:28:00,4.19,119.60,779.1,0.16,0.99,False
2025-01-01 00:29:00,4.22,120.45,779.6,0.15,0.98,False

